gene01	gene02	gene03	gene04	gene05	gene06	gene07	gene08	gene09	gene10	gene11	gene12	gene13	gene14	gene15
581	407	2	216	462	10	116	47420	4	10115620	217	87606	2	1426640	32
587	394	3	206	457	9	130	47737	1	10117107	214	87737	0	1426156	32
608	377	1	209	498	26	103	48093	2	10114853	200	87965	0	1429478	31
606	400	1	238	471	19	102	47515	5	10122310	258	88472	0	1427249	42
594	395	2	210	420	12	105	47332	3	10120240	239	87457	1	1426579	27
606	406	3	203	487	9	105	47789	4	10113656	223	87788	1	1427453	35
543	422	1	211	467	13	105	47924	3	10121020	231	87199	2	1428506	27
572	439	0	229	464	16	101	47598	3	10115215	217	87877	2	1429030	35
547	397	3	216	432	10	114	47599	3	10116079	205	87657	0	1426726	31
567	429	3	233	486	14	93	47466	1	10119640	230	87745	0	1428268	32
537	417	4	214	485	15	109	47973	6	10118111	244	87351	0	1427882	25
591	429	1	194	452	11	95	47272	5	10117290	235	88021	0	1426833	37
552	428	1	208	498	8	92	48252	2	10120540	242	87861	0	1429274	34
550	381	3	227	488	11	112	47601	1	10122636	207	87611	1	1428024	27
589	407	2	209	471	13	113	47489	3	10120809	225	87934	1	1427338	32
564	433	0	192	452	7	105	47836	0	10117821	220	87993	0	1430336	48
621	448	1	206	497	8	111	47841	2	10114726	235	87941	2	1428374	35
579	422	4	173	478	8	122	47746	1	10122128	241	88150	0	1427969	28
574	424	0	221	457	14	95	47928	5	10116953	243	87396	0	1427871	31
610	423	2	198	494	10	105	47875	3	10114384	218	87925	0	1428344	24
570	419	1	226	490	13	89	47782	4	10115126	223	87317	1	1430222	20
578	393	2	220	455	17	105	47571	2	10116525	234	87357	0	1428512	27
585	441	7	210	487	7	107	47777	3	10113159	215	87925	1	1427913	25
559	418	1	202	442	8	110	47951	2	10118370	221	87559	1	1425297	25
552	433	0	230	481	11	108	47854	2	10120745	232	87987	1	1427541	29
572	408	2	210	460	12	118	47911	4	10123059	214	87868	0	1424160	27
579	426	4	232	444	18	115	47840	1	10118680	228	88247	0	1428110	27
576	392	1	202	521	14	112	47810	5	10119571	200	87903	2	1428006	33
579	394	2	210	474	8	108	47545	3	10115275	218	87341	1	1426027	33
564	425	2	194	451	13	124	47890	6	10114369	224	88209	1	1425996	23
592	450	2	235	494	14	117	47557	3	10117631	213	87772	1	1428695	22
571	388	3	203	430	17	106	47743	6	10113332	256	88600	1	1426918	34
535	402	3	212	466	17	96	47334	4	10116247	219	87311	0	1427543	29
565	396	2	226	456	10	101	47598	3	10118164	216	87737	1	1427079	20
589	395	2	231	465	13	119	47590	4	10118546	227	87591	0	1425116	28
577	392	1	177	440	15	102	47668	4	10118083	185	88050	0	1426194	31
545	450	2	224	486	10	119	47765	5	10115471	191	88022	0	1430543	25
560	396	1	206	439	11	118	47556	0	10121469	248	87987	0	1427393	24
562	406	1	225	455	12	102	47755	2	10119124	200	87769	0	1427569	26
577	411	3	197	488	11	111	47755	3	10120414	247	87581	1	1425200	23
541	430	1	232	486	14	90	47737	3	10118933	210	87375	1	1425192	20
534	424	2	195	495	18	104	48180	2	10114485	219	87760	0	1427552	28
600	429	2	228	464	13	120	47679	1	10115466	226	88099	0	1425944	31
587	400	1	216	444	15	106	47717	1	10121131	228	88201	0	1427133	34
591	407	1	229	492	11	117	47605	1	10119042	236	87863	1	1427122	29
577	388	3	223	476	10	108	47867	1	10118931	217	88134	0	1427683	32
512	424	3	209	453	14	96	47840	0	10120198	238	87405	0	1427276	35
576	393	1	189	482	10	112	47670	5	10118007	240	87695	1	1428266	33
561	424	4	202	458	8	114	47876	2	10120592	210	87890	1	1425385	28
595	386	3	199	503	9	103	47691	3	10120204	217	88003	1	1429162	36
573	478	3	224	451	10	113	47511	1	10116055	245	87726	0	1430190	32
540	402	1	213	487	17	101	47919	5	10123879	216	87706	1	1427246	21
605	458	2	226	448	8	101	47929	3	10117636	230	87770	0	1428218	33
567	418	4	224	480	12	107	48299	3	10113807	237	87742	1	1428760	22
584	412	0	226	455	11	111	47971	2	10117197	221	87654	0	1426622	34
586	429	3	227	418	15	105	47889	3	10123791	232	88153	1	1426471	31
588	399	1	221	443	12	109	47738	3	10114854	217	87848	1	1426794	30
567	403	1	202	459	17	102	47417	3	10118719	201	87630	0	1428119	18
553	405	3	181	446	11	108	47208	3	10118692	230	87715	1	1428162	35
588	457	4	214	459	7	108	47966	1	10114688	222	88036	1	1428441	28
521	394	3	214	455	5	101	47576	0	10117479	211	87695	2	1428160	32
537	390	3	201	456	12	122	47524	7	10118515	234	87517	0	1428104	14
549	416	4	221	435	14	110	47918	3	10113366	229	87758	1	1425622	30
527	396	2	202	435	17	98	47513	1	10119160	241	87928	1	1426163	43
601	411	2	218	476	14	100	47855	4	10122411	198	87731	1	1428167	27
528	450	3	199	488	9	110	47251	5	10118080	246	87428	1	1426232	26
562	429	2	206	461	18	110	47895	3	10116077	233	87832	0	1428062	26
539	390	0	190	452	13	107	47686	6	10119572	224	87618	0	1429095	22
566	420	3	215	484	10	106	47361	5	10114843	220	88051	1	1428514	24
622	421	1	212	484	15	114	47851	4	10118228	209	87829	1	1429428	25
576	389	4	198	439	13	97	47468	4	10119410	244	88024	3	1426639	31
540	370	2	217	491	13	97	48066	3	10114597	244	87635	1	1426816	21
570	427	3	202	469	14	104	47405	1	10122770	224	88060	1	1427202	31
558	400	1	199	458	12	107	47455	2	10121196	258	88265	0	1429786	34
578	427	3	230	490	11	108	47789	2	10120045	238	87478	1	1427487	21
612	405	0	214	460	15	120	47871	2	10116121	226	86905	1	1427216	21
553	423	1	223	454	15	116	47895	3	10119704	222	88371	0	1427005	28
555	418	3	212	469	16	113	47724	1	10115472	219	87760	1	1426440	36
583	377	3	219	501	13	102	47552	5	10114631	224	87500	1	1428689	21
581	372	3	234	453	5	116	47712	3	10116595	222	88244	2	1427116	25
583	432	3	183	445	10	109	48114	2	10117511	207	87692	0	1427637	29
584	428	2	220	462	10	100	47316	8	10115749	242	87869	0	1427896	32
564	405	0	196	470	17	103	47847	3	10117308	251	87577	0	1428142	32
629	443	1	199	488	10	93	47338	3	10107987	240	87695	1	1426685	24
583	392	2	203	429	14	106	47674	2	10118410	230	87783	0	1428777	34
557	366	1	213	477	6	101	47898	2	10117977	250	88246	1	1429385	28
530	410	1	202	478	15	100	47500	2	10118145	234	87701	0	1429172	45
541	423	1	218	481	6	95	47464	4	10116419	233	87438	1	1427562	28
572	400	2	225	486	12	120	47482	4	10115546	241	87621	1	1427583	29
559	426	2	226	425	13	115	47612	4	10120512	255	88199	0	1428195	14
